iJO1366 Reaction,AMP IC50,CIP IC50,GENT IC50
L-Arabinose,0.156265754,0.178230378,-0.381772731
N-Acetyl-DGlucosamine,0.081094234,0.000354132,-0.374978439
D-Saccharic Acid,-0.037254451,-0.408797029,0.178672377
Succinic Acid,-0.032171294,-0.14950015,0.353076378
D-Galactose,0.116595266,-0.342109784,-0.089245519
L-Aspartic Acid,0.054662649,-0.425774061,0.131102611
L-Proline,0.039786585,-0.046610581,0.092984654
D-Alanine,-0.64659987,-0.444753516,0.135867569
D-Trehalose,0.038992031,-0.416377152,-0.111767674
D-Mannose,0.165696005,-0.44504532,-0.413590726
D-Serine,-1.089676736,-0.435951093,0.100903129
D-Sorbitol,0.091161629,0.023967596,-0.180686198
Glycerol,0.130141057,-0.050910373,0.010700676
L-Fucose,0.083583879,-0.404398753,-0.202497547
D-GlucuronicAcid,0.073150119,2.042441446,-0.061788465
D-Gluconic Acid,0.092425205,-0.068678651,-0.184164955
"D,L-??-Glycerol-Phosphate",0.045599986,-0.443434794,0.060509366
D-Xylose,0.150934024,-0.371977001,-0.435366384
L-Lactic Acid,0.022416078,-0.652089745,0.086788729
Formic Acid,0.13297873,-0.659546461,0.866411867
D-Mannitol,0.059055843,-0.548840604,0.041670514
L-Glutamic Acid,0.044614193,-0.474346524,0.106885273
Glucose-6-Phosphate,0.197837627,0.229944776,0.190268145
D-GalactonicAcid-??-Lactone,-0.101163034,0.415803898,0.213183767
"D,L-Malic Acid",-0.055448373,-0.475719742,0.545354494
D-Ribose,0.059564534,-0.385196765,-0.231385478
L-Rhamnose,0.073871647,-0.523324888,-0.219203584
D-Fructose,0.004291227,-0.486060753,-0.117917202
Acetic Acid,0.193008539,-0.512102721,0.537505093
??-D-Glucose,0.093741373,-0.438904539,0.014155371
Maltose,0.092223645,-0.496121447,-0.138647494
D-Melibiose,0.064271716,-0.237644817,-0.088776361
Thymidine,0.072509972,-0.604012793,0.034345537
L-Asparagine,0.116040205,-1.506467269,0.727641836
"1,2-Propanediol",0.034229481,-0.212037429,0.155147919
??-Keto-GlutaricAcid,-0.115091677,-0.062806178,0.444877783
??-Keto-ButyricAcid,0.429409245,-0.439056161,0.713522059
??-D-Lactose,0.038978087,-0.63165539,-0.06783219
Sucrose,0.030629693,-0.470350906,-0.089491887
Uridine,-0.041691885,-0.596707277,0.24709327
L-Glutamine,-0.008030196,-1.38732614,-0.120000845
Glucose-1-Phosphate,-0.003226817,0.069657269,0.148129569
Fructose-6-Phosphate,0.25224054,0.267982808,-0.169444022
Maltotriose,0.031162523,-0.451314295,-0.377282618
2-DeoxyAdenosine,0.157036837,-0.648310052,-0.169369615
Adenosine,0.176333295,-0.207800816,-0.072729535
Citric Acid,0.020242345,-0.668196706,0.315679825
M-Inositol,0.080322112,-0.475421668,0.035174415
Fumaric Acid,0.117427457,0.41544055,0.70904994
Propionic Acid,0.098686406,-0.026934163,0.234532518
Mucic Acid,-0.018414839,-0.331715012,0.51538785
Glycolic Acid,0.059619517,-0.644340641,0.350812676
Glyoxylic Acid,0.663210031,-1.049244852,1.195342831
Inosine,0.041583173,-0.176706358,-0.064403536
L-Serine,0.129381654,-0.907464497,-0.296376946
L-Threonine,0.023135229,-1.354580695,0.231952733
L-Alanine,0.298739025,-1.486034645,0.18927234
Acetoacetic Acid,0.799978991,-1.938015029,0.374499796
N-Acetyl-??-DMannosamine,0.100451252,-0.55385331,-0.051283915
D-Malic Acid,0.024023098,-0.934840005,0.325181848
L-Malic Acid,-0.008721819,-0.522976637,0.274017818
Tyramine,0.050906132,-0.868530903,0.409947765
L-Lyxose,0.173757517,-0.704658935,-0.515282236
Pyruvic Acid,0.174963503,-1.231442583,0.024892859
L-GalactonicAcid-??-Lactone,0.079807135,-0.369855692,-0.224669489
D-GalacturonicAcid,0.051859998,-0.300984137,-0.16806812
Phenylethylamine,0.472025801,-0.832415072,0.645552934
2-Aminoethanol,0.033837722,-0.386012572,0.053322166
Glycogen,0.058493431,0.050071675,-0.226803651
N-Acetyl-DGalactosamine,0.023421177,-0.30620064,-0.377743986
N-Acetyl-Neuraminic Acid,0.041484544,-0.510010105,-0.286601629
??-D-Allose,0.125960634,-0.974414943,-0.305930127
Arbutin,-0.02128916,-0.609408056,-0.416613075
??-Amino ButyricAcid,0.066026384,-0.468560249,-0.159032384
Butyric Acid,0.084756254,-0.112160345,-0.296642608
Capric Acid,0.675294552,-0.180497427,-0.357970559
Caproic Acid,0.659170582,1.087318019,0.389384846
4-HydroxyBenzoic Acid,0.310914393,0.766878628,-0.251177339
5-Keto-DGluconicAcid,-0.018592178,-0.863677421,-0.098475197
Oxalic Acid,0.053616069,-0.332246772,0.24039558
Quinic Acid,0.006958136,-0.058492487,-0.147656375
D-Tartaric Acid,0.209278361,-0.233241944,0.111245894
L-Tartaric Acid,0.142074069,0.669472071,0.398960517
